Date,Open,High,Low,Close,Volume,Adj Close
2011-03-23,582.5,586.0,579.5,585.0,7851600,429.855
2011-03-24,583.0,591.5,582.0,589.5,7519700,433.162
2011-03-25,591.5,592.0,586.5,589.5,6399700,433.162
2011-03-28,591.5,594.89,589.5,592.0,5306000,434.999
2011-03-29,593.0,594.5,588.0,594.5,6441000,436.836
2011-03-30,594.5,595.5,590.0,595.5,7143700,437.571
2011-03-31,597.5,598.31,594.0,594.0,7440800,436.469
2011-04-01,597.0,598.9,593.5,597.5,4469400,439.04
2011-04-04,601.0,603.0,597.5,600.0,4625500,440.877
2011-04-05,595.0,596.0,587.08,589.0,7336200,432.795
2011-04-06,592.5,593.0,587.5,590.0,5087500,433.529
2011-04-07,590.5,598.5,589.0,590.0,6788000,433.529
2011-04-08,593.0,594.5,588.0,589.5,5584100,433.162
2011-04-11,586.0,592.0,583.5,590.0,4572800,433.529
2011-04-12,590.5,594.5,584.5,586.0,5349100,430.59
2011-04-13,590.5,601.005,588.0,599.0,8475500,440.143
2011-04-14,599.0,604.0,590.562,595.5,6273900,437.571
2011-04-15,597.0,605.0,596.0,603.5,6961800,443.449
2011-04-18,603.5,604.0,589.0,589.0,6406200,432.795
2011-04-19,591.5,596.5,590.0,592.5,5496700,435.366
2011-04-20,595.5,604.755,595.5,603.5,4815300,443.449
2011-04-21,605.0,605.062,599.0,602.0,3361300,442.347
2011-04-26,601.0,607.5,599.5,607.0,3950600,446.021
2011-04-27,608.5,613.5,607.0,609.0,3876400,447.491
2011-04-28,612.5,617.42,611.0,614.0,6205600,451.165
2011-05-03,613.5,618.0,608.5,616.5,5841700,453.002
2011-05-04,630.0,639.0,611.0,612.0,10383500,449.695
2011-05-05,614.5,616.5,608.025,610.0,4452600,448.225
2011-05-06,610.5,615.0,607.5,615.0,4724600,451.899
2011-05-09,613.0,618.75,607.0,614.5,5962800,451.532
2011-05-10,616.0,630.0,615.0,629.5,11871700,462.554
2011-05-11,632.0,633.0,622.5,627.5,6660800,461.084
2011-05-12,625.0,629.063,619.5,629.0,5515800,462.186
2011-05-13,631.0,633.0,618.055,619.5,6496300,455.206
2011-05-16,616.5,619.5,609.5,616.0,6948900,452.634
2011-05-17,617.0,622.0,615.5,615.5,8661200,452.267
2011-05-18,617.5,621.0,612.0,614.5,5649200,451.532
2011-05-19,618.0,631.5,614.5,622.5,11146300,457.41
2011-05-20,624.5,635.5,622.5,632.5,9246000,464.758
2011-05-23,625.0,633.0,622.5,623.0,9441700,457.778
2011-05-24,624.0,629.0,623.5,624.5,3894400,458.88
2011-05-25,619.0,622.43,614.5,617.0,8258500,453.369
2011-05-26,619.0,619.5,614.0,616.0,6998400,452.634
2011-05-27,620.0,621.5,616.5,619.5,10831300,455.206
2011-05-31,624.0,631.2,622.0,626.0,13337900,459.982
2011-06-01,607.0,607.0,596.0,596.0,8086300,456.975
2011-06-02,593.0,597.5,590.5,592.0,16589000,453.908
2011-06-03,594.5,595.5,586.0,593.0,7886300,454.675
2011-06-06,593.0,594.5,588.5,589.5,4933000,451.991
2011-06-07,588.0,597.0,587.5,593.5,8204600,455.058
2011-06-08,593.5,595.5,589.5,594.5,5803600,455.825
2011-06-09,595.5,601.78,593.5,600.5,5548600,460.425
2011-06-10,602.0,602.0,591.0,591.0,7390900,453.141
