Date,Open,High,Low,Close,Adj Close,Volume
2002-04-10,599.700012,602.500000,589.000000,600.500000,313.109192,52536008
2002-04-11,595.000000,604.000000,594.000000,596.500000,311.023438,19043632
2002-04-12,590.000000,592.700012,579.500000,584.000000,304.505676,53970648
2002-04-15,584.000000,596.200012,581.299988,595.000000,310.241302,44812132
2002-04-16,596.000000,606.500000,585.500000,605.000000,315.455505,64355116
2002-04-17,597.000000,616.500000,596.000000,598.000000,311.805481,41475900
2002-04-18,602.700012,604.500000,595.400024,595.500000,310.501953,33576632
2002-04-19,598.299988,601.000000,592.000000,596.000000,310.762695,25614348
2002-04-22,594.700012,601.099976,594.000000,597.000000,311.284088,29798190
2002-04-23,596.900024,600.599976,579.000000,588.500000,306.852142,51449192
2002-04-24,587.500000,589.799988,574.000000,578.000000,301.377289,52134208
2002-04-25,577.500000,584.200012,561.099976,573.500000,299.030853,44965712
2002-04-26,573.500000,576.000000,558.900024,565.000000,294.598877,52151136
2002-04-29,562.299988,574.000000,560.000000,569.000000,296.684570,37997372
2002-04-30,568.200012,591.500000,563.799988,585.500000,305.287872,75725128
2002-05-01,576.000000,587.200012,576.000000,578.000000,301.377289,27020932
2002-05-02,581.000000,587.000000,577.500000,577.500000,301.116516,54200988
2002-05-03,577.500000,597.000000,577.500000,593.500000,309.459198,44847168
2002-05-06,594.000000,594.000000,594.000000,594.000000,309.719849,0
2002-05-07,594.200012,594.200012,570.500000,576.000000,300.334442,41065472
2002-05-08,575.599976,584.000000,570.400024,583.000000,303.984253,26355168
2002-05-09,583.099976,589.500000,579.299988,587.000000,306.069946,30634626
2002-05-10,586.200012,591.000000,582.000000,585.000000,305.027191,27387172
2002-05-13,584.000000,591.500000,580.000000,590.000000,307.634155,19039660
2002-05-14,598.500000,611.000000,598.500000,606.000000,315.976807,56754196
2002-05-15,605.900024,606.895020,594.500000,596.000000,312.853516,33480772
2002-05-16,603.000000,604.500000,589.000000,596.000000,312.853516,45322832
2002-05-17,592.000000,604.000000,588.500000,592.000000,310.753906,33281991
2002-05-20,596.500000,598.500000,588.599976,590.500000,309.966522,16660225
2002-05-21,589.400024,599.500000,586.000000,596.000000,312.853516,27027880
2002-05-22,596.000000,596.390991,580.500000,584.000000,306.554443,50974684
2002-05-23,584.900024,590.000000,575.000000,584.000000,306.554443,48261196
2002-05-24,583.599976,593.000000,583.000000,591.500000,310.491364,36014480
2002-05-27,591.099976,596.099976,584.500000,588.000000,308.654205,38732152
2002-05-28,587.500000,591.000000,570.500000,573.500000,301.042786,48531192
2002-05-29,581.500000,584.000000,569.000000,581.000000,304.979767,52645668
2002-05-30,580.099976,583.500000,571.500000,576.500000,302.617615,48039128
